City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,foster city,37.5586,-122.2711,30.75,63,75,9.77,US,1685840300
313,padang,-0.9492,100.3543,25.03,87,98,0.81,ID,1685840301
314,murun-kuren,49.6342,100.1625,14.89,52,13,1.88,MN,1685840301
315,whitecourt,54.1502,-115.6855,24.58,43,40,5.66,CA,1685840301
316,kirakira,-10.4544,161.9205,29.43,72,88,3.21,SB,1685840301
317,colonia,50.9333,6.95,13.4,58,0,1.54,DE,1685840117
318,nar'yan-mar,67.6713,53.087,10.17,64,99,7.13,RU,1685840301
319,sona,45.4388,10.8255,19.03,88,75,0.51,IT,1685840301
320,inyati,-19.6756,28.8469,14.09,51,3,0.95,ZW,1685840301
321,roma,43.2128,-75.4557,19.08,38,0,5.14,US,1685840083
322,kadom,54.5592,42.4675,5.44,89,100,5.51,RU,1685840302
323,aleksandrovsk-sakhalinskiy,50.8975,142.1561,5.62,84,100,2.8,RU,1685840302
324,crane,31.3974,-102.3501,27.56,46,8,7.69,US,1685840302
325,selkirk,50.1436,-96.8845,27.32,62,100,2.24,CA,1685840202
326,puerto carreno,6.189,-67.4859,26.26,77,96,2.57,CO,1685840302
327,nova vicosa,-17.8919,-39.3719,22.48,68,2,4.09,BR,1685840302
328,olyokminsk,60.3736,120.4264,20.21,41,38,3.86,RU,1685840303
329,revda,56.801,59.9303,17.36,91,42,1.27,RU,1685840303
330,chadan,51.2833,91.5833,18.35,35,99,1.75,RU,1685840303
331,praia,14.9215,-23.5087,23.3,73,40,5.66,CV,1685840303
332,socorro,31.6546,-106.3033,33.56,10,20,3.6,US,1685840019
333,daru,-9.0763,143.2092,26.28,89,98,6.53,PG,1685840303
334,maasin,10.1336,124.8447,28.87,87,95,1.47,PH,1685840303
335,masterton,-40.9597,175.6575,12.16,78,100,3.55,NZ,1685840303
336,nsanje,-16.92,35.262,18.92,70,0,0.7,MW,1685840304
337,mil'kovo,55.6078,37.7956,5.73,86,4,3.07,RU,1685840304
338,kidal,18.4411,1.4078,32.25,15,4,4.14,ML,1685840304
339,weno,7.4515,151.8468,28.41,78,28,2.73,FM,1685840304
340,novoagansk,61.9449,76.6625,19.1,79,100,4.65,RU,1685840304
341,tsiombe,-25.3,45.4833,18.99,61,0,2.33,MG,1685840304
342,slave lake,55.2834,-114.769,24.99,36,0,4.12,CA,1685840213
343,puerto armuelles,8.2833,-82.8667,28.99,67,100,2.24,PA,1685840218
344,bel ombre,-4.6167,55.4167,26.91,83,40,5.66,SC,1685840304
345,pedernales,18.0384,-71.744,27.39,78,98,0.93,DO,1685840305
346,puerto san jose,13.9256,-90.8244,28.92,78,76,1.85,GT,1685840305
347,n'zeto,-7.2312,12.8666,22.57,92,100,3.17,AO,1685840305
348,turbat,26.0023,63.044,30.18,47,0,1.77,PK,1685840305
349,sur,22.5667,59.5289,31.16,54,0,5.94,OM,1685840305
350,fort-shevchenko,44.5086,50.263,23.99,52,99,5.92,KZ,1685840305
351,barah,13.7,30.3667,29.83,43,64,3.7,SD,1685840305
352,paracuru,-3.41,-39.0306,28.39,81,16,4.79,BR,1685840305
353,anna regina,7.2644,-58.5077,26.41,84,61,3.05,GY,1685840306
354,turpan,42.9333,89.1667,29.7,13,91,3.09,CN,1685840306
355,dunedin,-45.8742,170.5036,7.2,91,100,5.24,NZ,1685840091
356,dubbo,-32.25,148.6167,20.07,56,100,9.77,AU,1685840306
357,kailua-kona,19.6406,-155.9956,27.98,75,40,5.14,US,1685840306
358,as sulayyil,20.4607,45.5779,27.14,19,4,1.98,SA,1685840306
359,undurkhaan,47.3194,110.6556,13.92,39,5,6.62,MN,1685840306
360,cambebba,-3.6209,-38.8291,28.28,73,12,3.75,BR,1685840306
361,xuddur,4.1213,43.8894,21.85,87,1,6.55,SO,1685840307
362,adamovka,51.5223,59.9396,21.94,50,100,1.35,RU,1685840307
363,broome,42.2506,-75.833,18.43,64,49,1.34,US,1685840307
